"Source:","F:\my_proj\stopwater\stopwater\Power_Supply L072.kicad_sch"
"Date:","07.11.2023 14:23:31"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ALTIUM_VALUE","CODE","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","DES","ID","KEY IMBASE","KT","MANUFACTURER","MANUFACTURER PN","MANUFACTURERPARTNUMBER","PART NUMBER","PDF","PN","POWER/VOLTAGE","REM","SMD","STOP_MIRROR","TKE","TOLERANCE","VENDOR","VENDOR PN","VOLTAGE","КОРПУС","ПРИМЕЧАНИЕ"
"34","1","T1","TS7W-4.32-14.61-8.63","Power_Supply L072-altium-import:root_0_TS5W-18.4-18.4-9.2","TS5W","","","","","","","","","","","","","","TS5W-18.4-18.4-9.2","","6216","","","","","","","","","","","","",""
"35","6","TP1, TP2, TP3, TP4, TP5, TP6","Тестовая точка","Power_Supply L072-altium-import:root_1_TestPointHole","TP0.5","","","","","","","","","","i60026C508261C000003","i60026C508261C000003","","","","","","","","","","","","","","","","","","Отв. на плате"
"36","1","VD1","ES1JFL","Power_Supply L072-altium-import:root_2_ES1JFL","SOD123","","","","","","","","","","","","","","","","5662","","","","","","","","","Fairchild","ES1JFL","","",""
"37","1","VD2","BAV3004W","Power_Supply L072-altium-import:root_2_BAV3004W","SOD123","","","","","","","","","","","","","","","","5192","","","","","","","","","Diodes Inc","BAV3004W","","",""
"38","1","VD3","ES1JFL","Power_Supply L072-altium-import:root_1_ES1JFL","SOD123","","","","","","","","","","","","","","","","5662","","","","","","","","","Fairchild","ES1JFL","","",""
"39","1","VD4","Диод SS110","Power_Supply L072-altium-import:root_3_Diode_Shottky","SMAE","","","","","Параметры","ftp://192.168.1.200/Datasheets/Fairchild Semiconductor/Discrets/Diodes/SS34.pdf","Сайт производителя","http://www.fairchildsemi.com","","i60026C50823AF000002","i60026C50823AF000002","","Fairchild Semiconductor","","SS110E-TP","6215","","","","SMD","","","","","","","","SMC","*"
"40","1","VD5","ES1JFL","Power_Supply L072-altium-import:root_0_ES1JFL","SOD123","","","","","","","","","","","","","","","","5662","","","","","","","","","Fairchild","ES1JFL","","",""
"41","1","VD6","BAT54S","Power_Supply L072-altium-import:root_0_BAT54S","SOT23_3","","","","","","","","","","","","","","","","25","","","","","","","","","Fairchild","BAT54S","","",""
"42","1","VD13","Диод LL4148","Power_Supply L072-altium-import:root_0_Diode","SOD80","","","","","Параметры диода","ftp://192.168.1.200/Datasheets/Fairchild Semiconductor/Discrets/Diodes/LL4148.pdf","Сайт производителя","http://www.fairchildsemi.com/","","i60026C5082230000003","i60026C5082230000003","","","","LL4148","3307","","","","","","","","","","","","SOD80C","*"
"43","1","VO1","FOD817B3SD","Power_Supply L072-altium-import:root_0_mirrored_HCPL-817","FOD817B3SD","","","","","Параметры","ftp://192.168.1.200/Datasheets/Cosmo/K1010.pdf","Сайт производителя","http://www.cosmo-ic.com/","","i60026C508222F00000C","i60026C508222F00000C","","Cosmo","","K10101D11","","","FOD817B3SD","","","","","","","","","","DIP-4","*"
"44","1","VT1","DMN65D8L-7","Power_Supply L072-altium-import:root_0_IRML2502","SOT23_3","","","DMN65D8L-7","","","","","","","","","","","","","6203","","","","","","","","","diodes","DMN65D8L-7","","",""
"45","1","VT2","BC847C","Power_Supply L072-altium-import:root_0_BC847C","Transistor.IntLib:SOT23_3","","","","","","","","","","","","","Nexperia","","","5152","","BC847C","","","","","","","","","","",""
"46","1","X1","KLEMM2","Power_Supply L072-altium-import:root_2_KLEMM2","DG250-3.5-02P-11-00A","","","{Value}","","","","","","","","","","","","","","","1792863","","","","","","","","","","",""
"47","2","XS1, XS2","Отв.на плате","Power_Supply L072-altium-import:root_0_CON1_holes","Pad 1mm2","","","","","","","","","","i60026C508261C000004","i60026C508261C000004","","","","","","","0050002","","","","True","","","","","","","Отв. на плате"
"48","1","XS3","Отв.на плате","Power_Supply L072-altium-import:root_0_mirrored_CON1_holes","Pad 1mm2","","","","","","","","","","i60026C508261C000004","i60026C508261C000004","","","","","","","0050003","","","","True","","","","","","","Отв. на плате"
